channel_id,channel_name,subscriber_count,creator_tier,total_videos,shorts_count_sample,avg_views,median_views,std_views,max_views,avg_like_rate,avg_duration_sec,pct_vertical,pct_has_music,avg_title_length,avg_hook_count,avg_emoji_count,pct_has_hashtag,viral_video_rate,views_per_subscriber,consistency_score
UCjkN0rIb3Hgreli147odYow,Everyone's Cubes,51200,micro,30,30,7207.43,5050.0,6066.71,22000,0.0,0.0,0.0,0.0,26.97,0.0333,0.7,0.0,0.0,0.1408,0.543
UCa6jH_ei_kS58nnlodKujGA,RK Cube Tricks ,14400,micro,30,30,15450.0,10000.0,26500.2,154000,0.0,0.0,0.0,0.0,80.2,2.7333,1.3,1.0,0.0,1.0729,0.3683
UCpHilTMHGfcyMUu3VSvr7Dw,CubeX Nufayel ,7080,nano,30,30,240903.33,30500.0,963412.61,5400000,0.0,0.0,0.0,0.0,60.4,1.1667,0.1667,1.0,0.0333,34.0259,0.2
UCnQiiq_qJr071XBpLSsvHOg,Cube ViewB,1250,nano,30,30,2519.77,1500.0,2487.56,10000,0.0,0.0,0.0,0.0,65.9,0.0333,0.0,1.0,0.0,2.0158,0.5032
UCpp1GoykvTBuPiZt3FiFHjg,SoupTimmy,6090000,macro,30,30,2848366.67,2100000.0,2285279.79,8600000,0.0,0.0,0.0,0.0,27.5,0.0,0.2667,0.0,0.8,0.4677,0.5548
UCXMVaxrax7RNDPdfRrXXgtQ,Hafu Go,18000000,macro,30,30,50000300.0,30500000.0,54618940.89,184000000,0.0,0.0,0.0,0.0,31.67,0.3,0.0,0.0,0.8667,2.7778,0.4779
UCqsR2ZLT_Qp3p1Oxe95wwNA,ViperKing,305000,mid,30,30,2136133.33,1100000.0,2929841.63,13000000,0.0,0.0,0.0,0.0,38.67,0.0333,0.0,1.0,0.5333,7.0037,0.4217
UCnKGA6Hq5F4Ghbr7boubPWA,god of speed⚡,451000,mid,30,30,129536.67,15000.0,534362.7,3000000,0.0,0.0,0.0,0.0,92.63,0.1333,0.2333,1.0,0.0333,0.2872,0.1951
UCxyiHBSLjbazH1YzdimANxQ,CRAZY CUBER,3820,nano,30,30,63110.0,16500.0,165448.43,900000,0.0,0.0,0.0,0.0,65.53,1.8667,0.1,1.0,0.0,16.5209,0.2761
UCIzBe9pNIT0fR8wj0RKjo5A,King of cuber,4680,nano,30,30,20310.53,16500.0,17777.2,62000,0.0,0.0,0.0,0.0,36.2,0.8333,0.6333,1.0,0.0,4.3399,0.5333
UCWocqKZAZEgiqjZHGSQhg8A,Piece Of Magic,918000,mid,30,30,999900.0,149500.0,3407938.53,19000000,0.0,0.0,0.0,0.0,78.13,1.2333,0.5,1.0,0.1333,1.0892,0.2268
UCo5DLltLZGE5NbkEbu_sgBg,Captain Cuber,3080000,macro,30,30,408496.67,64000.0,1120445.04,4600000,0.0,0.0,0.0,0.0,32.43,0.0333,0.0667,0.0,0.1,0.1326,0.2672
UCgrVc-wE0mWCet9toWfR6yw,cuberman,171000,mid,30,30,11446.67,9900.0,8176.66,36000,0.0,0.0,0.0,0.0,16.2,0.3667,0.1333,0.0333,0.0,0.0669,0.5833
UCVfreboc3AkoV1PQk54lKkg,CaptoCrazy Shorts,6870000,macro,30,30,3694033.33,1950000.0,4544876.94,24000000,0.0,0.0,0.0,0.0,41.73,0.0667,0.0,1.0,0.8,0.5377,0.4484
UCimNmHU2Pvn4rP4AZjcA1Lg,Scooch Cubing,23100,micro,30,30,129180.0,20000.0,398305.74,2200000,0.0,0.0,0.0,0.0,33.57,0.1667,0.0,0.0333,0.0333,5.5922,0.2449
UC30FuHczPwsxM8K_eda1X0g,Harish Rajaganapathy,4060,nano,30,30,5504.3,5000.0,3618.72,13000,0.0,0.0,0.0,0.0,79.0,0.7667,0.5,1.0,0.0,1.3557,0.6033
UCaghnn0_2_fXRJAGv29z6qQ,Technical Arnab Cubing ,33400,micro,30,30,3732.47,1850.0,7312.35,34000,0.0,0.0,0.0,0.0,30.07,0.2667,0.3,0.1,0.0,0.1118,0.3379
UC_dFqhwfKkmoifAj25VPUMA,Optimized Cubing,7090,nano,24,24,198125.0,12000.0,545863.97,2700000,0.0,0.0,0.0,0.0,36.46,0.2917,0.9583,0.0,0.0417,27.9443,0.2663
UCDo5nG01bqy7cHhyf-8E3Qw,Arisandra,977000,mid,30,30,3775800.0,1650000.0,5444555.07,24000000,0.0,0.0,0.0,0.0,46.67,0.0,0.2333,0.0333,0.5333,3.8647,0.4095
UCkv4hqhHauiB88q1vBAiYaQ,Cubing Encoded,238000,mid,10,10,615610.0,352000.0,861641.98,3100000,0.0,0.0,0.0,0.0,40.7,0.0,0.4,0.2,0.1,2.5866,0.4167
UCldc2U7-2lUz_yR6SQ6ILtg,YASH CUBING,35000,micro,30,30,8630.0,6700.0,4379.66,20000,0.0,0.0,0.0,0.0,60.43,2.1333,0.1667,0.8667,0.0,0.2466,0.6634
UCpnufZjftg7hh44aulmXxgA,Dexton Crutchfield,2070000,macro,30,30,4230000.0,2200000.0,4964953.84,23000000,0.0,0.0,0.0,0.0,29.8,0.0,0.0,0.0333,1.0,2.0435,0.46
UC3NgzJ1q2qEEEK89VuLotKg,ChalkCuber,1630000,macro,30,30,325766.67,79000.0,1104820.67,6200000,0.0,0.0,0.0,0.0,32.37,0.0,1.5333,0.0,0.0667,0.1999,0.2277
UCGqU_x7iFTe06HzTL3J6IPQ,Hanhancube,1420,nano,30,30,10469.47,3300.0,12813.11,40000,0.0,0.0,0.0,0.0,62.7,1.9,0.4333,1.0,0.0,7.3729,0.4497
UCxXqILbiN0CinQpTY5sYC8g,Darren Saito,12200,micro,30,30,168586.67,16000.0,700523.76,3900000,0.0,0.0,0.0,0.0,37.03,0.0667,0.0333,0.0,0.0333,13.8186,0.194
UCe3PuUCjh1fNxRFFmjbMSCw,CUBASTIC,2090000,macro,30,30,408540.0,118000.0,748763.7,3400000,0.0,0.0,0.0,0.0,72.67,0.1,0.5667,0.6667,0.0667,0.1955,0.353
UCtaMRYGIXKhRpI86D2CqTEA,Ash Magic,3500000,macro,30,30,326470.0,18000.0,1647814.21,9200000,0.0,0.0,0.0,0.0,29.5,0.1667,1.0333,0.0,0.0333,0.0933,0.1654
UCyJ5l2JklfAnywFL7mn30VQ,DENIS MAGIC SHOW,4750000,macro,30,30,26500.0,18000.0,35604.07,212000,0.0,0.0,0.0,0.0,30.53,0.5667,1.3,0.0,0.0,0.0056,0.4267
UCfdLRU02ubhIpmDIh7j9kHA,Z3Cubing,1070000,macro,30,30,2741700.0,969000.0,4205034.36,18000000,0.0,0.0,0.0,0.0,32.13,0.0,0.0,0.0,0.5,2.5623,0.3947
UC3E1UaKJvQfU_m86rVGizrg,JS icON,224000,mid,30,30,14543.33,11000.0,18263.05,95000,0.0,0.0,0.0,0.0,82.6,0.1333,1.0,1.0,0.0,0.0649,0.4433
UCwIJzLLjtuX3R-2RD822lnQ,Miss Cuber,106000,mid,30,30,117093.33,34500.0,250362.52,1200000,0.0,0.0,0.0,0.0,39.93,0.3333,0.7,0.2,0.0333,1.1047,0.3187
